pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max
482,-0.44635,110.507939,1,0.5,8.02
483,-0.44635,110.511308,1,0.5,8.02
484,-0.44635,110.514676,1,0.5,8.02
485,-0.449719,110.157596,1,0.5,30.37
486,-0.449719,110.160965,1,0.5,30.37
487,-0.449719,110.164333,1,0.5,30.37
488,-0.449719,110.272131,1,0.5,3.48
489,-0.449719,110.2755,1,0.5,3.48
490,-0.449719,110.278869,2,0.5,35.8
491,-0.449719,110.282237,2,0.5,35.8
492,-0.449719,110.285606,2,0.5,35.8
493,-0.449719,110.288975,2,0.75,30.73
494,-0.449719,110.292343,2,0.75,30.73
495,-0.449719,110.295712,2,0.75,30.73
496,-0.449719,110.299081,1,0.5,6.76
497,-0.449719,110.329399,1,0.5,3.47
498,-0.449719,110.332768,1,0.5,3.47
499,-0.449719,110.356348,1,0.5,96.64
500,-0.449719,110.359717,1,0.5,96.64
501,-0.449719,110.363086,1,0.5,96.64
502,-0.449719,110.379929,1,1.0,12.1
