Cluster,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max
173,28,0.13898540653231412,1.0,1.0,0.0,1,1,6.632142857142857,6.63,0.0041785544701868045,6.63,6.64
174,46,0.22833316787451602,1.0,1.0,0.0,1,1,6.614130434782608,6.61,0.004978213403988855,6.61,6.62
175,28,0.13898540653231412,1.0,1.0,0.0,1,1,9.229642857142858,9.23,0.006372477195601591,9.22,9.24
176,72,0.3573910453688077,1.0,1.0,0.0,1,1,9.017777777777777,9.02,0.015584591724440693,8.98,9.04
177,70,0.34746351633078526,1.0,1.0,0.0,1,1,8.942571428571428,8.94,0.01410989110217007,8.92,8.96
178,86,0.42688374863496475,1.0,1.0,0.0,1,1,7.203255813953489,7.2,0.010894343968599248,7.18,7.22
179,31,0.15387670008934776,1.0,1.0,0.0,1,1,7.166774193548386,7.17,0.004751909633114619,7.16,7.17
180,77,0.3822098679638638,1.0,1.0,0.0,1,1,5.542207792207792,5.54,0.005763628385555462,5.53,5.55
181,50,0.24818822595056092,1.0,1.0,0.0,1,1,5.5098,5.51,0.006223720260225689,5.5,5.52
182,52,0.2581157549885833,1.0,1.0,0.0,1,1,5.34,5.34,0.0,5.34,5.34
183,28,0.13898540653231412,1.0,1.0,0.0,1,1,5.35,5.35,0.0,5.35,5.35
184,43,0.21344187431748238,1.0,1.0,0.0,1,1,6.009302325581395,6.01,0.005068741196791205,6.0,6.02
185,47,0.23329693239352725,1.0,1.0,0.0,1,1,5.983404255319149,5.98,0.004789751624984835,5.98,5.99
186,44,0.21840563883649358,1.0,1.0,0.0,1,1,6.03,6.03,0.0,6.03,6.03
187,46,0.22833316787451602,1.0,1.0,0.0,1,1,6.305434782608696,6.31,0.00503610155185365,6.3,6.31
188,52,0.2581157549885833,1.0,1.0,0.0,1,1,6.283269230769231,6.28,0.004736654667156793,6.28,6.29
189,66,0.3276084582547404,1.0,1.0,0.0,1,1,1.821818181818182,1.83,0.013801793741739203,1.8,1.84
190,49,0.2432244614315497,1.0,1.0,0.0,1,1,1.8653061224489798,1.86,0.010227015045197286,1.85,1.88
191,26,0.12905787749429165,1.0,1.0,0.0,1,1,9.2,9.2,0.0,9.2,9.2
192,38,0.18862305172242627,1.0,1.0,0.0,1,1,5.36421052631579,5.36,0.005003554924018407,5.36,5.37
193,60,0.2978258711406731,1.0,1.0,0.0,1,1,5.382666666666666,5.38,0.0044594849085645965,5.38,5.39
194,30,0.14891293557033655,1.0,1.0,0.0,1,1,6.529333333333333,6.53,0.002537081317024873,6.52,6.53
