pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max,Cluster
473,-0.44635,110.356348,1,0.5,96.64,-1
474,-0.44635,110.359717,1,0.5,96.64,-1
475,-0.44635,110.363086,1,0.5,96.64,-1
476,-0.44635,110.40351,1,0.5,2.36,229
477,-0.44635,110.406879,1,0.5,2.36,229
478,-0.44635,110.410247,1,0.5,2.36,229
479,-0.44635,110.484358,1,0.5,3.55,329
480,-0.44635,110.487727,1,0.5,3.55,329
481,-0.44635,110.491096,1,0.5,3.55,329
482,-0.44635,110.507939,1,0.5,8.02,143
483,-0.44635,110.511308,1,0.5,8.02,143
484,-0.44635,110.514676,1,0.5,8.02,143
485,-0.449719,110.157596,1,0.5,30.37,25
486,-0.449719,110.160965,1,0.5,30.37,25
487,-0.449719,110.164333,1,0.5,30.37,25
488,-0.449719,110.272131,1,0.5,3.48,311
489,-0.449719,110.2755,1,0.5,3.48,311
490,-0.449719,110.278869,2,0.5,35.8,21
491,-0.449719,110.282237,2,0.5,35.8,21
492,-0.449719,110.285606,2,0.5,35.8,21
493,-0.449719,110.288975,2,0.75,30.73,-1
494,-0.449719,110.292343,2,0.75,30.73,-1
495,-0.449719,110.295712,2,0.75,30.73,-1
496,-0.449719,110.299081,1,0.5,6.76,137
497,-0.449719,110.329399,1,0.5,3.47,313
498,-0.449719,110.332768,1,0.5,3.47,313
499,-0.449719,110.356348,1,0.5,96.64,0
500,-0.449719,110.359717,1,0.5,96.64,-1
501,-0.449719,110.363086,1,0.5,96.64,-1
502,-0.449719,110.379929,1,1.0,12.1,89
503,-0.449719,110.383298,1,1.0,12.1,89
504,-0.449719,110.386666,1,1.0,12.1,89
505,-0.449719,110.437197,1,0.5,3.7,326
506,-0.449719,110.440565,1,0.5,6.03,186
507,-0.449719,110.443934,1,0.5,6.03,186
508,-0.449719,110.447303,1,0.5,6.03,186
509,-0.449719,110.507939,1,0.5,8.02,143
510,-0.449719,110.511308,1,0.5,8.02,143
511,-0.449719,110.514676,1,0.5,8.02,143
512,-0.449719,110.524782,1,0.5,3.86,310
513,-0.449719,110.528151,1,0.5,3.86,310
514,-0.453088,110.157596,1,0.5,30.37,25
515,-0.453088,110.160965,1,0.5,30.37,25
516,-0.453088,110.164333,1,0.5,30.37,25
517,-0.453088,110.272131,1,0.5,3.48,311
518,-0.453088,110.2755,1,0.5,3.48,311
519,-0.453088,110.278869,1,0.5,3.48,311
520,-0.453088,110.288975,1,1.0,30.73,25
521,-0.453088,110.292343,1,1.0,30.73,25
522,-0.453088,110.295712,2,0.75,30.73,-1
523,-0.453088,110.299081,1,0.5,6.76,137
524,-0.453088,110.329399,1,0.5,3.47,313
525,-0.453088,110.332768,1,0.5,3.47,313
526,-0.453088,110.379929,1,1.0,12.1,89
527,-0.453088,110.383298,1,1.0,12.1,89
528,-0.453088,110.386666,1,1.0,12.1,89
529,-0.453088,110.437197,1,0.5,3.7,326
530,-0.453088,110.440565,1,0.5,6.03,186
531,-0.453088,110.443934,1,0.5,6.03,186
532,-0.453088,110.447303,1,0.5,6.03,186
533,-0.453088,110.470884,1,0.5,9.35,146
534,-0.453088,110.474252,1,0.5,9.35,146
535,-0.453088,110.477621,1,0.5,9.35,146
536,-0.453088,110.524782,1,0.5,3.86,310
537,-0.453088,110.528151,1,0.5,3.86,310
538,-0.453088,110.58205,1,0.5,3.23,257
539,-0.453088,110.585419,1,0.5,3.23,257
540,-0.456456,110.295712,1,0.5,6.76,137
541,-0.456456,110.299081,1,0.5,6.76,137
542,-0.456456,110.302449,1,0.5,3.01,258
543,-0.456456,110.379929,1,1.0,12.1,89
544,-0.456456,110.383298,1,1.0,12.1,89
545,-0.456456,110.386666,1,1.0,12.1,89
